,id,name,parameter,displayName,unit,city,lastUpdated,firstUpdated,latitude,longitude,modelName,manufacturerName,max,mean,quant_97.5,quant_02.5,quant_25,quant_75,min
56,1067795,AQSU-7B2A,pm25,PM2.5,µg/m³,None,2023-06-26T17:38:15+00:00,2023-06-08T23:14:17+00:00,53.528904,-113.41585,PurpleAir Sensor,PurpleAir,110.0,29.983830188679246,92.42500000000001,0.5945,7.2,46.0,0.013
57,1067796,Sioux Narrows NWHU,pm25,PM2.5,µg/m³,None,2024-02-06T19:32:01+00:00,2023-06-08T23:14:55+00:00,49.409813,-94.096725,PurpleAir Sensor,PurpleAir,120.0,24.26276754075124,74.0,1.5,9.1,35.0,0.0
58,1067797,RED LAKE - AQSU-E191,pm25,PM2.5,µg/m³,None,2024-02-07T14:12:41+00:00,2023-06-08T23:15:09+00:00,51.01696,-93.83011,PurpleAir Sensor,PurpleAir,110.0,28.48730282352941,87.79999999999995,0.48800000000000004,6.4,45.0,0.0
59,1067799,AQSU-2C47,pm25,PM2.5,µg/m³,None,2023-06-26T17:36:17+00:00,2023-06-08T23:17:24+00:00,53.528904,-113.41585,PurpleAir Sensor,PurpleAir,100.0,28.90100705882353,91.19999999999993,0.646,6.8,46.0,0.017
60,1067800,AQSU-0C34,pm25,PM2.5,µg/m³,None,2023-06-26T17:38:18+00:00,2023-06-08T23:15:35+00:00,53.528904,-113.41585,PurpleAir Sensor,PurpleAir,120.0,30.190884433962264,93.42500000000001,0.803,7.3,47.25,0.03
61,1067816,AQSU-9A00,pm25,PM2.5,µg/m³,None,2023-06-26T17:36:17+00:00,2023-06-08T23:20:50+00:00,53.528904,-113.41585,PurpleAir Sensor,PurpleAir,110.0,28.40812867298578,90.47499999999997,0.6415000000000001,6.325,45.0,0.0033
62,1067818,NWHUDry,pm25,PM2.5,µg/m³,None,2024-02-07T14:09:04+00:00,2023-06-08T23:19:51+00:00,49.781425,-92.83527,PurpleAir Sensor,PurpleAir,140.0,23.883783333333334,93.02499999999986,1.0,6.9,32.25,0.013
63,1067819,Paulatuk Hamlet Office,pm25,PM2.5,µg/m³,None,2024-01-25T23:33:19+00:00,2023-06-08T23:21:10+00:00,69.35113,-124.07235,PurpleAir Sensor,PurpleAir,170.0,15.756041877256317,114.74999999999909,0.025,0.61,18.0,0.0
64,1067822,AQSU-87FD,pm25,PM2.5,µg/m³,None,2023-06-26T17:36:56+00:00,2023-06-08T23:20:14+00:00,53.528904,-113.41585,PurpleAir Sensor,PurpleAir,110.0,29.480931407035175,88.07499999999999,0.4895000000000001,6.525,46.0,0.0
65,1067823,Ulukhaktok Hamlet Office,pm25,PM2.5,µg/m³,None,2024-02-07T14:08:54+00:00,2023-06-08T23:19:42+00:00,70.748055,-117.78979,PurpleAir Sensor,PurpleAir,110.0,29.838735427135678,92.29999999999995,0.7427500000000001,6.6,46.75,0.0067
66,1067824,Prelude Lake Territorial Park,pm25,PM2.5,µg/m³,None,2023-09-20T00:18:54+00:00,2023-06-08T23:20:28+00:00,62.565037,-113.98537,PurpleAir Sensor,PurpleAir,690.0,79.43648600212089,368.75,0.18,12.0,97.0,0.0
67,1068636,La Reine,pm25,PM2.5,µg/m³,None,2023-07-15T21:29:25+00:00,2023-06-09T15:05:40+00:00,48.868206,-79.50583,PurpleAir Sensor,PurpleAir,650.0,43.74048554913294,403.9999999999998,1.86,11.0,42.0,0.72
68,1068844,allCareIT,pm25,PM2.5,µg/m³,None,2023-06-09T19:38:16+00:00,2023-06-09T18:01:47+00:00,44.24876,-76.552,PurpleAir Sensor,PurpleAir,0.68,0.5700000000000001,0.6745000000000001,0.4655,0.515,0.625,0.46
69,1069130,Welwyn Street,pm25,PM2.5,µg/m³,None,2024-02-07T14:09:06+00:00,2023-06-10T01:26:51+00:00,49.25158,-123.069405,PurpleAir Sensor,PurpleAir,80.0,9.281852995906215,44.84999999999991,0.7,3.2,11.0,0.033
70,1070893,CEAEQ-712b,pm25,PM2.5,µg/m³,None,2023-07-10T20:47:09+00:00,2023-06-11T20:17:12+00:00,45.60626,-73.655464,PurpleAir Sensor,PurpleAir,80.0,22.113268608414238,67.0,2.0,8.9,32.0,0.61
71,1070909,CEAEQ-490,pm25,PM2.5,µg/m³,None,2023-06-28T12:28:43+00:00,2023-06-11T21:51:01+00:00,45.60776,-73.65692,PurpleAir Sensor,PurpleAir,41.0,29.65744680851064,39.7,6.8950000000000005,27.0,34.0,5.9
